========================================
  CTT-JEPA Experiments on H100
  Started: Fri Mar 27 10:54:54 UTC 2026
========================================
[1/2] Training C-JEPA Baseline...
10:55:00.865 | INFO    (4670, __main__) | DDP: False, Rank: 0, World Size: 1, Device: cuda:0
10:55:06.687 | INFO    (4670, __main__) | Train samples: 1090000, Val samples: 545000

Epoch 1:  25%|██▍       | 131/532 [00:14<00:38, 10.53it/s, loss=0.0561, future=0.0348]
Epoch 1:  25%|██▌       | 133/532 [00:14<00:38, 10.49it/s, loss=0.0561, future=0.0348]
Epoch 1:  25%|██▌       | 133/532 [00:14<00:38, 10.49it/s, loss=0.0561, future=0.0348]
Epoch 1:  25%|██▌       | 133/532 [00:15<00:38, 10.49it/s, loss=0.0551, future=0.0341]
Epoch 1:  25%|██▌       | 135/532 [00:15<00:37, 10.54it/s, loss=0.0551, future=0.0341]
Epoch 1:  25%|██▌       | 135/532 [00:15<00:37, 10.54it/s, loss=0.0566, future=0.0350]
Epoch 1:  25%|██▌       | 135/532 [00:15<00:37, 10.54it/s, loss=0.0548, future=0.0339]
Epoch 1:  26%|██▌       | 137/532 [00:15<00:37, 10.58it/s, loss=0.0548, future=0.0339]
Epoch 1:  26%|██▌       | 137/532 [00:15<00:37, 10.58it/s, loss=0.0541, future=0.0336]
Epoch 1:  26%|██▌       | 137/532 [00:15<00:37, 10.58it/s, loss=0.0554, future=0.0345]
Epoch 1:  26%|██▌       | 139/532 [00:15<00:37, 10.59it/s, loss=0.0554, future=0.0345]
Epoch 1:  26%|██▌       | 139/532 [00:15<00:37, 10.59it/s, loss=0.0550, future=0.0344]
Epoch 1:  26%|██▌       | 139/532 [00:15<00:37, 10.59it/s, loss=0.0542, future=0.0339]
Epoch 1:  27%|██▋       | 141/532 [00:15<00:37, 10.48it/s, loss=0.0542, future=0.0339]
Epoch 1:  27%|██▋       | 141/532 [00:15<00:37, 10.48it/s, loss=0.0541, future=0.0338]
Epoch 1:  27%|██▋       | 141/532 [00:15<00:37, 10.48it/s, loss=0.0544, future=0.0338]
Epoch 1:  27%|██▋       | 143/532 [00:15<00:37, 10.50it/s, loss=0.0544, future=0.0338]
Epoch 1:  27%|██▋       | 143/532 [00:15<00:37, 10.50it/s, loss=0.0533, future=0.0333]
Epoch 1:  27%|██▋       | 143/532 [00:15<00:37, 10.50it/s, loss=0.0535, future=0.0336]
Epoch 1:  27%|██▋       | 145/532 [00:15<00:36, 10.46it/s, loss=0.0535, future=0.0336]
Epoch 1:  27%|██▋       | 145/532 [00:16<00:36, 10.46it/s, loss=0.0551, future=0.0341]
Epoch 1:  27%|██▋       | 145/532 [00:16<00:36, 10.46it/s, loss=0.0537, future=0.0335]
Epoch 1:  28%|██▊       | 147/532 [00:16<00:36, 10.48it/s, loss=0.0537, future=0.0335]
Epoch 1:  28%|██▊       | 147/532 [00:16<00:36, 10.48it/s, loss=0.0541, future=0.0342]
Epoch 1:  28%|██▊       | 147/532 [00:16<00:36, 10.48it/s, loss=0.0536, future=0.0339]
Epoch 1:  28%|██▊       | 149/532 [00:16<00:36, 10.55it/s, loss=0.0536, future=0.0339]
Epoch 1:  28%|██▊       | 149/532 [00:16<00:36, 10.55it/s, loss=0.0545, future=0.0347]
Epoch 1:  28%|██▊       | 149/532 [00:16<00:36, 10.55it/s, loss=0.0523, future=0.0332]
Epoch 1:  28%|██▊       | 151/532 [00:16<00:35, 10.60it/s, loss=0.0523, future=0.0332]
Epoch 1:  28%|██▊       | 151/532 [00:16<00:35, 10.60it/s, loss=0.0539, future=0.0342]
Epoch 1:  28%|██▊       | 151/532 [00:16<00:35, 10.60it/s, loss=0.0534, future=0.0333]
Epoch 1:  29%|██▉       | 153/532 [00:16<00:35, 10.62it/s, loss=0.0534, future=0.0333]
Epoch 1:  29%|██▉       | 153/532 [00:16<00:35, 10.62it/s, loss=0.0521, future=0.0329]
Epoch 1:  29%|██▉       | 153/532 [00:16<00:35, 10.62it/s, loss=0.0534, future=0.0333]
Epoch 1:  29%|██▉       | 155/532 [00:16<00:35, 10.51it/s, loss=0.0534, future=0.0333]
Epoch 1:  29%|██▉       | 155/532 [00:17<00:35, 10.51it/s, loss=0.0526, future=0.0331]
Epoch 1:  29%|██▉       | 155/532 [00:17<00:35, 10.51it/s, loss=0.0527, future=0.0333]
Epoch 1:  30%|██▉       | 157/532 [00:17<00:35, 10.54it/s, loss=0.0527, future=0.0333]
Epoch 1:  30%|██▉       | 157/532 [00:17<00:35, 10.54it/s, loss=0.0522, future=0.0330]
Epoch 1:  30%|██▉       | 157/532 [00:17<00:35, 10.54it/s, loss=0.0521, future=0.0330]
Epoch 1:  30%|██▉       | 159/532 [00:17<00:35, 10.59it/s, loss=0.0521, future=0.0330]
Epoch 1:  30%|██▉       | 159/532 [00:17<00:35, 10.59it/s, loss=0.0530, future=0.0334]
Epoch 1:  30%|██▉       | 159/532 [00:17<00:35, 10.59it/s, loss=0.0522, future=0.0333]
Epoch 1:  30%|███       | 161/532 [00:17<00:35, 10.52it/s, loss=0.0522, future=0.0333]
Epoch 1:  30%|███       | 161/532 [00:17<00:35, 10.52it/s, loss=0.0524, future=0.0329]
Epoch 1:  30%|███       | 161/532 [00:17<00:35, 10.52it/s, loss=0.0529, future=0.0335]
Epoch 1:  31%|███       | 163/532 [00:17<00:35, 10.42it/s, loss=0.0529, future=0.0335]
Epoch 1:  31%|███       | 163/532 [00:17<00:35, 10.42it/s, loss=0.0512, future=0.0326]
