11:29:42.583 | INFO    (9751, __main__) | DDP: False, Rank: 0, World Size: 1, Device: cuda:0
11:29:49.265 | INFO    (9751, __main__) | Train samples: 1090000, Val samples: 545000

Epoch 1:  26%|██▌       | 137/532 [00:11<00:24, 16.22it/s, loss=0.0547, future=0.0345]
Epoch 1:  26%|██▌       | 137/532 [00:11<00:24, 16.22it/s, loss=0.0540, future=0.0340]
Epoch 1:  26%|██▌       | 137/532 [00:11<00:24, 16.22it/s, loss=0.0540, future=0.0338]
Epoch 1:  26%|██▌       | 139/532 [00:11<00:24, 16.24it/s, loss=0.0540, future=0.0338]
Epoch 1:  26%|██▌       | 139/532 [00:11<00:24, 16.24it/s, loss=0.0533, future=0.0334]
Epoch 1:  26%|██▌       | 139/532 [00:11<00:24, 16.24it/s, loss=0.0530, future=0.0335]
Epoch 1:  27%|██▋       | 141/532 [00:11<00:24, 16.25it/s, loss=0.0530, future=0.0335]
Epoch 1:  27%|██▋       | 141/532 [00:11<00:24, 16.25it/s, loss=0.0525, future=0.0332]
Epoch 1:  27%|██▋       | 141/532 [00:11<00:24, 16.25it/s, loss=0.0518, future=0.0325]
Epoch 1:  27%|██▋       | 143/532 [00:11<00:23, 16.23it/s, loss=0.0518, future=0.0325]
Epoch 1:  27%|██▋       | 143/532 [00:11<00:23, 16.23it/s, loss=0.0518, future=0.0329]
Epoch 1:  27%|██▋       | 143/532 [00:11<00:23, 16.23it/s, loss=0.0534, future=0.0336]
Epoch 1:  27%|██▋       | 145/532 [00:11<00:23, 16.23it/s, loss=0.0534, future=0.0336]
Epoch 1:  27%|██▋       | 145/532 [00:11<00:23, 16.23it/s, loss=0.0533, future=0.0333]
Epoch 1:  27%|██▋       | 145/532 [00:11<00:23, 16.23it/s, loss=0.0529, future=0.0333]
Epoch 1:  28%|██▊       | 147/532 [00:11<00:23, 16.24it/s, loss=0.0529, future=0.0333]
Epoch 1:  28%|██▊       | 147/532 [00:11<00:23, 16.24it/s, loss=0.0537, future=0.0341]
Epoch 1:  28%|██▊       | 147/532 [00:11<00:23, 16.24it/s, loss=0.0531, future=0.0333]
Epoch 1:  28%|██▊       | 149/532 [00:11<00:23, 16.24it/s, loss=0.0531, future=0.0333]
Epoch 1:  28%|██▊       | 149/532 [00:12<00:23, 16.24it/s, loss=0.0514, future=0.0329]
Epoch 1:  28%|██▊       | 149/532 [00:12<00:23, 16.24it/s, loss=0.0520, future=0.0329]
Epoch 1:  28%|██▊       | 151/532 [00:12<00:23, 16.21it/s, loss=0.0520, future=0.0329]
Epoch 1:  28%|██▊       | 151/532 [00:12<00:23, 16.21it/s, loss=0.0526, future=0.0332]
Epoch 1:  28%|██▊       | 151/532 [00:12<00:23, 16.21it/s, loss=0.0530, future=0.0337]
Epoch 1:  29%|██▉       | 153/532 [00:12<00:23, 16.25it/s, loss=0.0530, future=0.0337]
Epoch 1:  29%|██▉       | 153/532 [00:12<00:23, 16.25it/s, loss=0.0523, future=0.0331]
Epoch 1:  29%|██▉       | 153/532 [00:12<00:23, 16.25it/s, loss=0.0523, future=0.0331]
Epoch 1:  29%|██▉       | 155/532 [00:12<00:23, 16.28it/s, loss=0.0523, future=0.0331]
Epoch 1:  29%|██▉       | 155/532 [00:12<00:23, 16.28it/s, loss=0.0527, future=0.0334]
Epoch 1:  29%|██▉       | 155/532 [00:12<00:23, 16.28it/s, loss=0.0517, future=0.0329]
Epoch 1:  30%|██▉       | 157/532 [00:12<00:22, 16.31it/s, loss=0.0517, future=0.0329]
Epoch 1:  30%|██▉       | 157/532 [00:12<00:22, 16.31it/s, loss=0.0527, future=0.0331]
Epoch 1:  30%|██▉       | 157/532 [00:12<00:22, 16.31it/s, loss=0.0513, future=0.0326]
Epoch 1:  30%|██▉       | 159/532 [00:12<00:22, 16.30it/s, loss=0.0513, future=0.0326]
Epoch 1:  30%|██▉       | 159/532 [00:12<00:22, 16.30it/s, loss=0.0517, future=0.0327]
Epoch 1:  30%|██▉       | 159/532 [00:12<00:22, 16.30it/s, loss=0.0520, future=0.0330]
Epoch 1:  30%|███       | 161/532 [00:12<00:22, 16.28it/s, loss=0.0520, future=0.0330]
Epoch 1:  30%|███       | 161/532 [00:12<00:22, 16.28it/s, loss=0.0515, future=0.0326]
Epoch 1:  30%|███       | 161/532 [00:12<00:22, 16.28it/s, loss=0.0520, future=0.0330]
Epoch 1:  31%|███       | 163/532 [00:12<00:22, 16.24it/s, loss=0.0520, future=0.0330]
Epoch 1:  31%|███       | 163/532 [00:12<00:22, 16.24it/s, loss=0.0517, future=0.0326]
Epoch 1:  31%|███       | 163/532 [00:12<00:22, 16.24it/s, loss=0.0512, future=0.0324]
Epoch 1:  31%|███       | 165/532 [00:12<00:22, 16.25it/s, loss=0.0512, future=0.0324]
Epoch 1:  31%|███       | 165/532 [00:13<00:22, 16.25it/s, loss=0.0523, future=0.0334]
Epoch 1:  31%|███       | 165/532 [00:13<00:22, 16.25it/s, loss=0.0521, future=0.0335]
Epoch 1:  31%|███▏      | 167/532 [00:13<00:22, 16.25it/s, loss=0.0521, future=0.0335]
Epoch 1:  31%|███▏      | 167/532 [00:13<00:22, 16.25it/s, loss=0.0497, future=0.0316]
Epoch 1:  31%|███▏      | 167/532 [00:13<00:22, 16.25it/s, loss=0.0514, future=0.0326]
